trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.5, 'e': 0.9405999999999956}",35,-100,-598.2821272185897,"{0: 82, 1: 19, 2: 21, 3: 6, 4: 7}",0
100,False,"{'a': 0.5, 'e': 0.9399999999999955}",25,-86,-472.7143477638217,"{0: 68, 1: 6, 2: 30, 3: 2, 4: 5}",0
101,False,"{'a': 0.5, 'e': 0.9393999999999955}",30,5,-148.15164896632916,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.9387999999999954}",20,-99,-446.6113703898352,"{0: 80, 1: 10, 2: 21, 3: 0, 4: 8}",0
103,False,"{'a': 0.5, 'e': 0.9381999999999954}",30,-3,-114.84307384312585,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9375999999999953}",20,-17,-207.23482541622238,"{0: 22, 1: 6, 2: 5, 3: 0, 4: 4}",0
105,False,"{'a': 0.5, 'e': 0.9369999999999953}",20,-60,-545.5554609001049,"{0: 48, 1: 7, 2: 12, 3: 3, 4: 10}",0
106,False,"{'a': 0.5, 'e': 0.9363999999999952}",30,-14,-284.539649098789,"{0: 25, 1: 4, 2: 8, 3: 3, 4: 4}",0
107,False,"{'a': 0.5, 'e': 0.9357999999999952}",25,11,-12.66678963892046,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.9351999999999951}",35,10,-45.1272803424725,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.9345999999999951}",30,-8,-185.35362009086163,"{0: 22, 1: 4, 2: 8, 3: 2, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9339999999999951}",30,-50,-252.8067395804719,"{0: 54, 1: 10, 2: 10, 3: 3, 4: 3}",0
111,False,"{'a': 0.5, 'e': 0.933399999999995}",20,-22,-101.7560566283765,"{0: 32, 1: 2, 2: 6, 3: 0, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.932799999999995}",20,-61,-267.005243304184,"{0: 50, 1: 9, 2: 18, 3: 2, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.9321999999999949}",20,-94,-627.3156364640625,"{0: 75, 1: 8, 2: 17, 3: 2, 4: 12}",0
114,False,"{'a': 0.5, 'e': 0.9315999999999949}",20,-7,-170.47111985271133,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.9309999999999948}",30,-100,-431.9717132213057,"{0: 83, 1: 19, 2: 18, 3: 6, 4: 4}",0
